distance,distribution,trigger,dod,instance_name
36020.318677734416,C,endogenous,0.25,p101
36190.32659977182,C,endogenous,0.25,p101
37299.45616773228,C,endogenous,0.25,p101
36010.08407023116,C,endogenous,0.25,p101
36116.66121024476,C,endogenous,0.25,p101
34249.10608630907,C,endogenous,0.25,p101
33731.46299351119,C,endogenous,0.25,p101
33796.427042316376,C,endogenous,0.25,p101
36654.393275900715,C,endogenous,0.25,p101
36363.76948550745,C,endogenous,0.25,p101
34366.21911169771,C,endogenous,0.25,p101
35724.18674641746,C,endogenous,0.25,p101
33106.56384170868,C,endogenous,0.25,p101
34580.767488237914,C,endogenous,0.25,p101
35860.638664406346,C,endogenous,0.25,p101
34585.070019896244,C,endogenous,0.25,p101
37475.23233923967,C,endogenous,0.25,p101
34696.57572171955,C,endogenous,0.25,p101
34492.604116010785,C,endogenous,0.25,p101
36377.86993385611,C,endogenous,0.25,p101
37425.00409070577,C,endogenous,0.25,p101
34093.7680433949,C,endogenous,0.25,p101
34678.722601327434,C,endogenous,0.25,p101
34435.0483802597,C,endogenous,0.25,p101
33486.348622560385,C,endogenous,0.25,p101
35171.41499300261,C,endogenous,0.25,p101
39007.131626995564,C,endogenous,0.25,p101
35103.83880689402,C,endogenous,0.25,p101
35644.96517985973,C,endogenous,0.25,p101
36260.31460693584,C,endogenous,0.25,p101
33407.56231447323,C,endogenous,0.25,p101
37164.13323928751,C,endogenous,0.25,p101
35233.16131212016,C,endogenous,0.25,p101
33880.510552532985,C,endogenous,0.25,p82
31832.92446284837,C,endogenous,0.25,p82
36552.1613705672,C,endogenous,0.25,p82
31386.964151999848,C,endogenous,0.25,p82
30824.192463638403,C,endogenous,0.25,p82
34082.183478969666,C,endogenous,0.25,p82
33777.034056678,C,endogenous,0.25,p82
32348.791095995894,C,endogenous,0.25,p82
32404.251246572538,C,endogenous,0.25,p82
30254.81995848583,C,endogenous,0.25,p82
35212.173225354585,C,endogenous,0.25,p82
33207.61880792976,C,endogenous,0.25,p82
34350.44157746523,C,endogenous,0.25,p82
33814.47193374087,C,endogenous,0.25,p82
32001.082908719945,C,endogenous,0.25,p82
34876.078776832335,C,endogenous,0.25,p82
31184.75961581543,C,endogenous,0.25,p82
33458.351839102026,C,endogenous,0.25,p82
32991.87151573777,C,endogenous,0.25,p82
34266.746631371374,C,endogenous,0.25,p82
34251.58608631842,C,endogenous,0.25,p82
33073.40810087513,C,endogenous,0.25,p82
34161.325681043265,C,endogenous,0.25,p82
32970.12661447071,C,endogenous,0.25,p82
31550.930817012588,C,endogenous,0.25,p82
29602.588399348053,C,endogenous,0.25,p82
35230.87434411463,C,endogenous,0.25,p82
30447.616782893667,C,endogenous,0.25,p82
33373.71600123175,C,endogenous,0.25,p82
34093.834101763896,C,endogenous,0.25,p82
30905.059733556685,C,endogenous,0.25,p82
33473.395796044315,C,endogenous,0.25,p82
32507.095418226134,C,endogenous,0.25,p82
34504.89487375203,C,endogenous,0.25,p82
33997.33675514321,C,endogenous,0.25,p82
34835.128134866005,C,endogenous,0.25,p82
34528.907069069886,C,endogenous,0.25,p82
34108.285465224435,C,endogenous,0.25,p82
33799.81983628733,C,endogenous,0.25,p82
33725.69348939824,C,endogenous,0.25,p82
32569.17127044163,C,endogenous,0.25,p82
32900.12196412873,C,endogenous,0.25,p82
32349.029758386914,C,endogenous,0.25,p82
34365.280782315174,C,endogenous,0.25,p82
33039.413454262234,C,endogenous,0.25,p82
31667.68904368288,C,endogenous,0.25,p82
31713.265881832773,C,endogenous,0.25,p82
31676.376307839157,C,endogenous,0.25,p82
34139.616040249624,C,endogenous,0.25,p82
33847.27440374118,C,endogenous,0.25,p82
35708.263440687784,C,endogenous,0.25,p82
34141.98227255419,C,endogenous,0.25,p82
34948.75143094706,C,endogenous,0.25,p82
32557.32208178919,C,endogenous,0.25,p82
31669.17109259687,C,endogenous,0.25,p82
33494.87262282895,C,endogenous,0.25,p82
33655.95245210221,C,endogenous,0.25,p82
33864.064119203875,C,endogenous,0.25,p82
34615.57268182811,C,endogenous,0.25,p82
31945.89899644745,C,endogenous,0.25,p82
34882.6071507844,C,endogenous,0.25,p82
34093.00379042613,C,endogenous,0.25,p82
34802.33839790745,C,endogenous,0.25,p82
33047.886826393624,C,endogenous,0.25,p82
32056.973738966342,C,endogenous,0.25,p82
34909.59515377251,C,endogenous,0.25,p82
32402.805505353976,C,endogenous,0.25,p82
33504.400583912655,C,endogenous,0.25,p82
34651.63884308995,C,endogenous,0.25,p82
34727.443904244676,C,endogenous,0.25,p82
33253.53986730676,C,endogenous,0.25,p82
33157.89903296809,C,endogenous,0.25,p82
34581.70682620085,C,endogenous,0.25,p82
32593.529032576866,C,endogenous,0.25,p82
35243.90880374168,C,endogenous,0.25,p82
33060.106290819785,C,endogenous,0.25,p82
30994.733556431103,C,endogenous,0.25,p82
33098.18369293225,C,endogenous,0.25,p82
35275.456475411374,C,endogenous,0.25,p82
31481.823568537897,C,endogenous,0.25,p82
33682.95193777322,C,endogenous,0.25,p82
32388.9086134567,C,endogenous,0.25,p82
34584.40083084989,C,endogenous,0.25,p82
33928.220881400026,C,endogenous,0.25,p82
30368.284161296226,C,endogenous,0.25,p82
32516.557345558253,C,endogenous,0.25,p82
33101.6682058113,C,endogenous,0.25,p82
32965.891890503364,C,endogenous,0.25,p82
30084.172064390485,C,endogenous,0.25,p82
32650.34813388898,C,endogenous,0.25,p82
34002.95917058912,C,endogenous,0.25,p82
33197.3480698016,C,endogenous,0.25,p82
35469.002333807126,C,endogenous,0.25,p82
32720.36316301428,C,endogenous,0.25,p82
33031.9569258443,C,endogenous,0.25,p82
34403.76807063405,C,endogenous,0.25,p82
34809.436888507254,C,endogenous,0.25,p82
35421.767139165066,C,endogenous,0.25,p82
31833.4872036746,C,endogenous,0.25,p82
36482.412388499964,C,endogenous,0.25,p82
32590.033562591285,C,endogenous,0.25,p82
31483.183658415663,C,endogenous,0.25,p82
33847.023349361945,C,endogenous,0.25,p82
31058.45998678165,C,endogenous,0.25,p82
33280.079809882445,C,endogenous,0.25,p82
30985.81600474647,C,endogenous,0.25,p82
31495.6734002515,C,endogenous,0.25,p82
33402.73527676137,C,endogenous,0.25,p82
31855.74033003471,C,endogenous,0.25,p82
33413.93992951278,C,endogenous,0.25,p82
35050.05682043513,C,endogenous,0.25,p82
34905.71961023557,C,endogenous,0.25,p82
32385.98587774363,C,endogenous,0.25,p82
33056.56473311114,C,endogenous,0.25,p82
31292.56525267147,C,endogenous,0.25,p82
31276.736446026764,C,endogenous,0.25,p82
30748.38801082618,C,endogenous,0.25,p82
33913.12228802877,C,endogenous,0.25,p82
34270.70135969746,C,endogenous,0.25,p82
34468.48160369503,C,endogenous,0.25,p82
28912.036610758067,C,endogenous,0.25,p83
28748.424612628263,C,endogenous,0.25,p83
27349.761130051793,C,endogenous,0.25,p83
30192.075581461144,C,endogenous,0.25,p83
28306.782162598192,C,endogenous,0.25,p83
27602.170051052417,C,endogenous,0.25,p83
30775.738042027813,C,endogenous,0.25,p83
26294.197753903336,C,endogenous,0.25,p83
29083.29746739391,C,endogenous,0.25,p83
28634.15056682364,C,endogenous,0.25,p83
29063.220568101362,C,endogenous,0.25,p83
29290.11204156687,C,endogenous,0.25,p83
32476.560472339213,C,endogenous,0.25,p83
28365.708220091125,C,endogenous,0.25,p83
28810.544758007054,C,endogenous,0.25,p83
32117.709136404483,C,endogenous,0.25,p83
30952.618539460214,C,endogenous,0.25,p83
28488.19054318373,C,endogenous,0.25,p83
28714.812698385267,C,endogenous,0.25,p83
28465.695621045517,C,endogenous,0.25,p83
29580.971604674723,C,endogenous,0.25,p83
29470.076746714614,C,endogenous,0.25,p83
30086.126110770147,C,endogenous,0.25,p83
29497.975729011294,C,endogenous,0.25,p83
28072.955724574233,C,endogenous,0.25,p83
28257.998275083053,C,endogenous,0.25,p83
27291.80011805625,C,endogenous,0.25,p83
31057.56854930417,C,endogenous,0.25,p83
29099.287844350518,C,endogenous,0.25,p83
29084.902355030186,C,endogenous,0.25,p83
30928.413988004715,C,endogenous,0.25,p83
29662.881686949917,C,endogenous,0.25,p83
30973.61203506729,C,endogenous,0.25,p83
29060.944750398423,C,endogenous,0.25,p83
30048.794344793543,C,endogenous,0.25,p83
30089.729808064203,C,endogenous,0.25,p83
29710.13530360761,C,endogenous,0.25,p83
29557.27470433919,C,endogenous,0.25,p83
28130.893828117758,C,endogenous,0.25,p83
29621.0114662864,C,endogenous,0.25,p83
28561.005364852106,C,endogenous,0.25,p83
33271.98886252584,C,endogenous,0.25,p83
30415.190195758067,C,endogenous,0.25,p83
28524.526978164668,C,endogenous,0.25,p83
27820.504057541864,C,endogenous,0.25,p83
30078.45013667057,C,endogenous,0.25,p83
30495.48544010447,C,endogenous,0.25,p83
26808.22087366685,C,endogenous,0.25,p83
29583.918160610167,C,endogenous,0.25,p83
27529.312437267217,C,endogenous,0.25,p83
30150.54009651393,C,endogenous,0.25,p83
30428.938939938882,C,endogenous,0.25,p83
31005.903267483696,C,endogenous,0.25,p83
28834.591468591694,C,endogenous,0.25,p83
28068.90730426619,C,endogenous,0.25,p83
29434.999357637567,C,endogenous,0.25,p83
28783.52042360576,C,endogenous,0.25,p83
26666.060579713096,C,endogenous,0.25,p83
27692.56687308792,C,endogenous,0.25,p83
30430.52915371769,C,endogenous,0.25,p83
31829.908311390947,C,endogenous,0.25,p83
30397.853666720166,C,endogenous,0.25,p83
27898.59211161264,C,endogenous,0.25,p83
29218.550109545264,C,endogenous,0.25,p83
30417.623547472424,C,endogenous,0.25,p83
28615.571124684404,C,endogenous,0.25,p83
28993.425685538277,C,endogenous,0.25,p83
26812.62506309867,C,endogenous,0.25,p83
30619.7145564199,C,endogenous,0.25,p83
26898.777393435365,C,endogenous,0.25,p83
27536.488601902904,C,endogenous,0.25,p83
28929.925042564413,C,endogenous,0.25,p83
30765.864318574233,C,endogenous,0.25,p83
29561.24047275962,C,endogenous,0.25,p83
28211.86608545752,C,endogenous,0.25,p83
32325.37810840665,C,endogenous,0.25,p83
29059.102761449667,C,endogenous,0.25,p83
29051.772665412744,C,endogenous,0.25,p83
28075.46357158593,C,endogenous,0.25,p83
