,distance,num_discovered_nodes,distribution,trigger,dod,visibility,instance_name
2766,2294.5173193168926,3.127361852562434,R,endogenous,0.5,50,p68
2767,2115.144102263531,3.4175359282278657,R,endogenous,0.5,50,p69
2768,1566.163148932506,3.945843112840201,R,endogenous,0.5,50,p70
2769,1576.7580684903253,3.781274813563049,R,endogenous,0.5,50,p71
2770,1537.3963002976252,4.234503797254595,R,endogenous,0.5,50,p72
2771,1913.751632244306,4.0520424009439475,R,endogenous,0.5,50,p73
2772,2045.350696131363,3.4752022692679247,R,endogenous,0.5,50,p74
2773,1796.5489907097012,3.8847543714642563,R,endogenous,0.5,50,p75
2774,1901.4671962485877,3.006994646939481,R,endogenous,0.5,50,p76
2775,1576.717387248375,3.752272887294885,R,endogenous,0.5,50,p77
2776,1820.8017390094403,3.9218914432958534,R,endogenous,0.5,50,p78
2777,2323.522409676773,3.0755086573444324,R,endogenous,0.5,50,p79
2778,2044.2487107094857,3.2219050682643595,R,endogenous,0.5,50,p80
2779,2021.1795067590776,1.9199673199833187,R,endogenous,0.5,50,p81
2780,1614.9919428574194,4.086734706366943,R,endogenous,0.5,5,p62
2781,2021.144339848502,4.306987352665715,R,endogenous,0.5,5,p63
2782,1704.9484814723326,4.026792274554147,R,endogenous,0.5,5,p64
2783,1274.4220651103694,3.849396984315484,R,endogenous,0.5,5,p65
2784,1612.4106307540108,4.3191969374958985,R,endogenous,0.5,5,p66
2785,2329.2134037107758,4.0496827001616795,R,endogenous,0.5,5,p67
2786,2130.6972564492776,4.2017653352814825,R,endogenous,0.5,5,p68
2787,2200.67289486358,4.543317806920167,R,endogenous,0.5,5,p69
2788,1264.8941070881729,3.335479001293102,R,endogenous,0.5,5,p70
2789,1470.8545145175058,3.796504362983303,R,endogenous,0.5,5,p71
2790,1449.0235340163197,3.9581494133889747,R,endogenous,0.5,5,p72
2791,1671.6558077639706,4.153733429164685,R,endogenous,0.5,5,p73
2792,2227.6697636377367,4.436850713930216,R,endogenous,0.5,5,p74
2793,1652.9370281513823,4.092411163562707,R,endogenous,0.5,5,p75
2794,1897.3614360317904,4.349409953864859,R,endogenous,0.5,5,p76
2795,1577.9178143693441,3.9547068010603437,R,endogenous,0.5,5,p77
2796,1431.477056051464,3.9227841253525093,R,endogenous,0.5,5,p78
2797,1858.7855582055654,4.18048688411234,R,endogenous,0.5,5,p79
2798,1833.769162830846,4.737588827574599,R,endogenous,0.5,5,p80
2799,2626.743810199874,5.4123975850862625,R,endogenous,0.5,5,p81
2800,1253.1107063985812,0.8881416093209807,R,endogenous,0.75,100,p62
2801,1420.3843490009865,0.5384384518090778,R,endogenous,0.75,100,p63
2802,1343.1143046737031,0.4298882663770054,R,endogenous,0.75,100,p64
2803,1134.281510527822,1.981691408957539,R,endogenous,0.75,100,p65
2804,1431.9702128892252,2.7810382358874173,R,endogenous,0.75,100,p66
2805,1728.9458157482575,2.160182065156054,R,endogenous,0.75,100,p67
2806,1623.0063885071017,1.3054507576589103,R,endogenous,0.75,100,p68
2807,1654.3253814359603,0.0,R,endogenous,0.75,100,p69
2808,1065.0788213351636,0.0,R,endogenous,0.75,100,p70
2809,1129.050104808742,2.449432564484106,R,endogenous,0.75,100,p71
2810,1111.6922407093184,0.4950737714883364,R,endogenous,0.75,100,p72
2811,1078.862755113685,0.8549984847726823,R,endogenous,0.75,100,p73
2812,1675.970423505726,1.1227217828476823,R,endogenous,0.75,100,p74
2813,1238.4682584426178,0.6609877169091393,R,endogenous,0.75,100,p75
2814,1329.5176150527868,0.5020964452534306,R,endogenous,0.75,100,p76
2815,1266.781513931305,3.0905000365944795,R,endogenous,0.75,100,p77
2816,1316.0887559165908,2.2849985749218593,R,endogenous,0.75,100,p78
2817,1710.440779773364,1.9263577917242394,R,endogenous,0.75,100,p79
2818,1403.2988997574864,0.0,R,endogenous,0.75,100,p80
2819,1323.5185810620771,0.0,R,endogenous,0.75,100,p81
2820,2131.6783537206,6.946857097235539,R,endogenous,0.75,10,p62
2821,2677.119213275702,8.350912830226363,R,endogenous,0.75,10,p63
2822,2252.638159428935,7.502151885503602,R,endogenous,0.75,10,p64
2823,1727.8510682963465,6.519760955216476,R,endogenous,0.75,10,p65
2824,2433.1587166013405,7.26410537442542,R,endogenous,0.75,10,p66
2825,2694.9368731155505,7.558993011647784,R,endogenous,0.75,10,p67
2826,2764.811994069887,7.066530573183468,R,endogenous,0.75,10,p68
2827,2476.3904691292314,7.8145477708402975,R,endogenous,0.75,10,p69
2828,1607.4363583335303,5.959033817122828,R,endogenous,0.75,10,p70
2829,2130.400887202345,7.0697554821246005,R,endogenous,0.75,10,p71
2830,1721.2549629935463,6.606252873665397,R,endogenous,0.75,10,p72
2831,2314.2165827018935,7.4385437266382475,R,endogenous,0.75,10,p73
2832,2706.6400807002096,6.524656961050421,R,endogenous,0.75,10,p74
2833,2284.8935642671345,7.603607429265096,R,endogenous,0.75,10,p75
2834,2316.2303062294136,6.8334323966311175,R,endogenous,0.75,10,p76
2835,1926.5901226549342,6.943045610749015,R,endogenous,0.75,10,p77
2836,2269.3586909109595,7.681469389953692,R,endogenous,0.75,10,p78
2837,2658.7362511439605,8.349239721170338,R,endogenous,0.75,10,p79
2838,2360.301789217005,7.287219732420002,R,endogenous,0.75,10,p80
2839,3249.5671742769423,8.169835891093218,R,endogenous,0.75,10,p81
2840,2127.117078629419,7.736192181415035,R,endogenous,0.75,15,p62
2841,2836.967838133711,8.842791300443164,R,endogenous,0.75,15,p63
2842,2408.1697652182447,7.489581933259961,R,endogenous,0.75,15,p64
2843,2051.7709897236855,8.221679171760554,R,endogenous,0.75,15,p65
2844,2434.481117873896,8.267431292007643,R,endogenous,0.75,15,p66
2845,3263.8469868910342,8.819954457856088,R,endogenous,0.75,15,p67
2846,3390.2618224227353,8.877251953217074,R,endogenous,0.75,15,p68
2847,3203.378689387043,9.20319941932265,R,endogenous,0.75,15,p69
2848,2088.3772180661954,8.42239245570231,R,endogenous,0.75,15,p70
2849,2125.4983329007596,7.329571545978592,R,endogenous,0.75,15,p71
2850,2258.0542607328052,8.776145411928665,R,endogenous,0.75,15,p72
2851,2546.279647888144,8.265343087769764,R,endogenous,0.75,15,p73
2852,3544.5529953273103,8.99576230765344,R,endogenous,0.75,15,p74
2853,2852.4567873723076,9.978797550818642,R,endogenous,0.75,15,p75
2854,2773.4331289496954,8.98631078433219,R,endogenous,0.75,15,p76
2855,2433.3231150691727,9.687031817547295,R,endogenous,0.75,15,p77
2856,2419.7718002452602,9.305580988579596,R,endogenous,0.75,15,p78
2857,2899.946359697958,8.64623345400623,R,endogenous,0.75,15,p79
2858,2846.5424203320554,8.156024049211513,R,endogenous,0.75,15,p80
2859,3202.059248913212,8.654102344839584,R,endogenous,0.75,15,p81
2860,786.608544488139,1.3152839954912845,R,endogenous,0.75,1,p62
2861,988.3441063449742,1.6749932062239414,R,endogenous,0.75,1,p63
2862,900.876911386562,1.6833340266798364,R,endogenous,0.75,1,p64
2863,585.1558646336653,1.3832734285567911,R,endogenous,0.75,1,p65
2864,915.7578040927621,1.9169741563115519,R,endogenous,0.75,1,p66
2865,1238.1396808294992,1.9162982230205767,R,endogenous,0.75,1,p67
2866,1159.8881372487317,1.8741945048518323,R,endogenous,0.75,1,p68
2867,988.8803687114516,1.6225822349710655,R,endogenous,0.75,1,p69
2868,852.0162141052655,1.8238998449086241,R,endogenous,0.75,1,p70
2869,768.3142345599956,1.6287851842617516,R,endogenous,0.75,1,p71
2870,704.7405180629853,1.4283788385587965,R,endogenous,0.75,1,p72
2871,931.775498092529,1.8979570322740564,R,endogenous,0.75,1,p73
2872,1189.3059011602495,1.889081112864239,R,endogenous,0.75,1,p74
2873,784.8354636821304,1.459442355420562,R,endogenous,0.75,1,p75
2874,1017.1254219890424,2.0377219938867395,R,endogenous,0.75,1,p76
2875,809.1140942613878,1.4848440674905579,R,endogenous,0.75,1,p77
2876,845.1220364052546,1.69725433241679,R,endogenous,0.75,1,p78
2877,1090.2520033197366,2.2439461039978346,R,endogenous,0.75,1,p79
2878,915.8962988566886,1.7292993351285917,R,endogenous,0.75,1,p80
2879,1458.5822081182691,2.8506105297211097,R,endogenous,0.75,1,p81
2880,732.6408531455561,0.0,R,endogenous,0.75,200,p62
2881,910.801330135966,0.0,R,endogenous,0.75,200,p63
2882,747.1035231550794,0.0,R,endogenous,0.75,200,p64
2883,614.6624569755111,0.0,R,endogenous,0.75,200,p65
2884,837.4714381038909,0.0,R,endogenous,0.75,200,p66
2885,945.4228147544483,0.0,R,endogenous,0.75,200,p67
2886,963.8651042019023,0.0,R,endogenous,0.75,200,p68
2887,861.4296880937187,0.0,R,endogenous,0.75,200,p69
2888,733.0454155639512,0.0,R,endogenous,0.75,200,p70
2889,733.1736564083127,0.0,R,endogenous,0.75,200,p71
2890,645.8176326247926,0.0,R,endogenous,0.75,200,p72
2891,850.9425816285076,0.0,R,endogenous,0.75,200,p73
2892,1147.303141406249,0.0,R,endogenous,0.75,200,p74
2893,770.7229090596338,0.0,R,endogenous,0.75,200,p75
2894,903.5439192079635,0.0,R,endogenous,0.75,200,p76
2895,688.9907774222365,0.0,R,endogenous,0.75,200,p77
